c_Sport,c_Season,c_Event,c_Gender,n_DateSort,c_Person,c_PersonNatio,c_NOC,c_Result,n_ResultSort,c_Class
Swimming,2018,100m Backstroke,Men,20180407,Rory McEvoy,Ireland,Ireland,54.88,54880,Elite
Swimming,2018,100m Backstroke,Men,20180421,David Gamburg,Israel,Israel,54.90,54900,Elite
Swimming,2018,100m Backstroke,Men,20180407,Juan Francisco Segura Gutierrez,Spain,Spain,54.90,54900,Elite
Swimming,2018,100m Backstroke,Men,20180511,Georgios Spanoudakis,Greece,Greece,54.91,54910,Elite
Swimming,2018,100m Backstroke,Men,20181007,Tomoe Zenimoto Hvas,Norway,Norway,54.93,54930,Elite
Swimming,2018,100m Backstroke,Men,20180728,Matthew Garcia,United States,United States,54.93,54930,Elite
Swimming,2018,100m Backstroke,Men,20180711,Hugo González,Spain,Spain,54.95,54950,Elite
Swimming,2018,100m Backstroke,Men,20180909,Syuhei Uno,Japan,Japan,54.97,54970,Elite
Swimming,2018,100m Backstroke,Men,20180328,Benedek Kovacs,Hungary,Hungary,54.99,54990,Elite
Swimming,2018,100m Backstroke,Men,20180422,Vladislav Tazov,Russia,Russia,54.99,54990,Elite
Swimming,2018,100m Backstroke,Men,20180413,Wang Peng,China,China,54.99,54990,Elite
Swimming,2018,100m Backstroke,Men,20180728,Hennessey Stuart,United States,United States,54.99,54990,Elite
Swimming,2018,100m Backstroke,Men,20180824,I Gede Siman Sudartawa,Indonesia,Indonesia,55.02,55020,Elite
Swimming,2018,100m Backstroke,Men,20180803,Will Grant,United States,United States,55.02,55020,Elite
Swimming,2018,100m Backstroke,Men,20180525,Radoslaw Kawecki,Poland,Poland,55.03,55030,Elite
Swimming,2018,100m Backstroke,Men,20180728,Clark Beach,United States,United States,55.04,55040,Elite
Swimming,2018,100m Backstroke,Men,20180805,Bernhard Reitshammer,Austria,Austria,55.06,55060,Elite
Swimming,2018,100m Backstroke,Men,20180525,Kamil Kazmierczak,Poland,Poland,55.06,55060,Elite
Swimming,2018,100m Backstroke,Men,20180728,Bryce Bohman,United States,United States,55.06,55060,Elite
Swimming,2018,100m Backstroke,Men,20180915,Vladimir Morozov,Russia,Russia,55.07,55070,Elite
Swimming,2018,100m Backstroke,Men,20180407,Tomasz Polewka,Poland,Poland,55.07,55070,Elite
Swimming,2018,100m Backstroke,Men,20180405,Elliot Clogg,England,Great Britain,55.08,55080,Elite
Swimming,2018,100m Backstroke,Men,20180702,Peter Mills,Australia,Australia,55.08,55080,Elite
Swimming,2018,100m Backstroke,Men,20180403,Keita Sunama,Japan,Japan,55.09,55090,Elite
Swimming,2018,100m Backstroke,Men,20180407,Daniel Cross,Great Britain,Great Britain,55.09,55090,Elite
Swimming,2018,100m Backstroke,Men,20180805,Ralf Tribuntsov,Estonia,Estonia,55.09,55090,Elite
Swimming,2018,100m Backstroke,Men,20180702,William Yang,Australia,Australia,55.09,55090,Elite
Swimming,2018,100m Backstroke,Men,20180806,Gytis Stankevicius,Lithuania,Lithuania,55.10,55100,Elite
Swimming,2018,100m Backstroke,Men,20180801,Ryan Gridley,United States,United States,55.17,55170,Elite
Swimming,2018,100m Backstroke,Men,20180422,Roman Larin,Russia,Russia,55.21,55210,Elite
Swimming,2018,100m Backstroke,Men,20180728,Josh Artmann,United States,United States,55.22,55220,Elite
Swimming,2018,100m Backstroke,Men,20181013,Cheng Tianyu,China,China,55.22,55220,Elite
Swimming,2018,100m Backstroke,Men,20180422,Nikita Babchenko,Russia,Russia,55.24,55240,Elite
Swimming,2018,100m Backstroke,Men,20180405,Calvyn Justus,South Africa,South Africa,55.25,55250,Elite
Swimming,2018,100m Backstroke,Men,20180408,Jorge Martin Lozoya,Spain,Spain,55.25,55250,Elite
Swimming,2018,100m Backstroke,Men,20180420,Fabio Santi,Brazil,Brazil,55.26,55260,Elite
Swimming,2018,100m Backstroke,Men,20180228,Zac Incerti,Australia,Australia,55.26,55260,Elite
Swimming,2018,100m Backstroke,Men,20180813,Jacopo Bietti,Italy,Italy,55.26,55260,Elite
Swimming,2018,100m Backstroke,Men,20180728,Jacob Steele,United States,United States,55.27,55270,Elite
Swimming,2018,100m Backstroke,Men,20180405,Craig McNally,Scotland,Great Britain,55.28,55280,Elite
Swimming,2018,100m Backstroke,Men,20180420,Guilherme Basseto,Brazil,Brazil,55.28,55280,Elite
Swimming,2018,100m Backstroke,Men,20180705,Gábor Zombori,Hungary,Hungary,55.30,55300,Elite
Swimming,2018,100m Backstroke,Men,20180420,Vitor Nascimento Guaraldo Santo,Brazil,Brazil,55.31,55310,Elite
Swimming,2018,100m Backstroke,Men,20180813,Lorenzo Mora,Italy,Italy,55.33,55330,Elite
Swimming,2018,100m Backstroke,Men,20180420,Nathan Bighetti,Brazil,Brazil,55.33,55330,Elite
Swimming,2018,100m Backstroke,Men,20180228,William Stockwell,Australia,Australia,55.34,55340,Elite
Swimming,2018,100m Backstroke,Men,20180411,Emanuel Turchi,Italy,Italy,55.34,55340,Elite
Swimming,2018,100m Backstroke,Men,20180725,Martyn Walton,England,Great Britain,55.34,55340,Elite
Swimming,2018,100m Backstroke,Men,20180525,Won Youngjun,Korea,Korea,55.34,55340,Elite
Swimming,2018,100m Backstroke,Men,20180119,Wang Shun,China,China,55.35,55350,Elite
Swimming,2018,100m Backstroke,Men,20180525,Takahiro Yamazaki,Japan,Japan,55.35,55350,Elite
Swimming,2018,100m Backstroke,Men,20180404,Yuma Edo,Japan,Japan,55.36,55360,Elite
Swimming,2018,100m Backstroke,Men,20180525,Mateusz Ungeheuer,Poland,Poland,55.36,55360,Elite
Swimming,2018,100m Backstroke,Men,20180525,Taishi Natsume,Japan,Japan,55.37,55370,Elite
Swimming,2018,100m Backstroke,Men,20180728,Carson Foster,United States,United States,55.37,55370,Elite
Swimming,2018,100m Backstroke,Men,20180630,Chad Le Clos,South Africa,South Africa,55.37,55370,Elite
Swimming,2018,100m Backstroke,Men,20180413,Emmanuel Vanluchene,Belgium,Belgium,55.38,55380,Elite
Swimming,2018,100m Backstroke,Men,20180805,Anton Loncar,United States,United States,55.39,55390,Elite
Swimming,2018,100m Backstroke,Men,20180624,John Shebat,United States,United States,55.41,55410,Elite
Swimming,2018,100m Backstroke,Men,20180422,Pavel Tatarenko,Russia,Russia,55.42,55420,Elite
Swimming,2018,100m Backstroke,Men,20180519,Youssef Said,United Arab Emirates,Egypt,55.43,55430,Elite
Swimming,2018,100m Backstroke,Men,20180422,Maxim Tretyakov,Russia,Russia,55.43,55430,Elite
Swimming,2018,100m Backstroke,Men,20180909,Egor Pavlov,Russia,Russia,55.45,55450,Elite
Swimming,2018,100m Backstroke,Men,20180728,Max St. George,United States,United States,55.45,55450,Elite
Swimming,2018,100m Backstroke,Men,20180525,Jakub Skierka,Poland,Poland,55.46,55460,Elite
Swimming,2018,100m Backstroke,Men,20180412,Simon Sjödin,Sweden,Sweden,55.47,55470,Elite
Swimming,2018,100m Backstroke,Men,20180819,Paul Le Nguyen,Vietnam,Vietnam,55.47,55470,Elite
Swimming,2018,100m Backstroke,Men,20180429,Michele Lamberti,Italy,Italy,55.47,55470,Elite
Swimming,2018,100m Backstroke,Men,20180809,Nyls Korstanje,Netherlands,Netherlands,55.48,55480,Elite
Swimming,2018,100m Backstroke,Men,20180725,Armando Barrera,Cuba,Cuba,55.48,55480,Elite
Swimming,2018,100m Backstroke,Men,20180202,Viktar Staselovich,Belarus,Belarus,55.48,55480,Elite
Swimming,2018,100m Backstroke,Men,20181203,Khoi Tran Duy,Vietnam,Vietnam,55.49,55490,Elite
Swimming,2018,100m Backstroke,Men,20180914,Mohamed Samy El Sayed,Egypt,Egypt,55.49,55490,Elite
Swimming,2018,100m Backstroke,Men,20180423,Maxim Stupin,Russia,Russia,55.51,55510,Elite
Swimming,2018,100m Backstroke,Men,20180411,Niccolò Bonacchi,Italy,Italy,55.51,55510,Elite
Swimming,2018,100m Backstroke,Men,20180403,Takeshi Kawamoto,Japan,Japan,55.52,55520,Elite
Swimming,2018,100m Backstroke,Men,20180728,Destin Lasco,United States,United States,55.52,55520,Elite
Swimming,2018,100m Backstroke,Men,20180423,Nikolai Zuev,Russia,Russia,55.52,55520,Elite
Swimming,2018,100m Backstroke,Men,20180805,Markus Lie,Norway,Norway,55.52,55520,Elite
Swimming,2018,100m Backstroke,Men,20180719,Andreas Wiesner,Germany,Germany,55.53,55530,Elite
Swimming,2018,100m Backstroke,Men,20180824,Adil Kaskabay,Kazakhstan,Kazakhstan,55.53,55530,Elite
Swimming,2018,100m Backstroke,Men,20180914,Jacques van Wyk,South Africa,South Africa,55.54,55540,Elite
Swimming,2018,100m Backstroke,Men,20180728,Michael Laitarovsky,Israel,Israel,55.54,55540,Elite
Swimming,2018,100m Backstroke,Men,20180427,Jonatan Kopelev,Israel,Israel,55.54,55540,Elite
Swimming,2018,100m Backstroke,Men,20180823,Peter Larson,United States,United States,55.55,55550,Elite
Swimming,2018,100m Backstroke,Men,20180728,Zachary Poti,United States,United States,55.55,55550,Elite
Swimming,2018,100m Backstroke,Men,20180902,Keisuke Ohyama,Japan,Japan,55.55,55550,Elite
Swimming,2018,100m Backstroke,Men,20180721,Joseph Clark,Great Britain,Great Britain,55.55,55550,Elite
Swimming,2018,100m Backstroke,Men,20180328,Ádám Telegdy,Hungary,Hungary,55.56,55560,Elite
Swimming,2018,100m Backstroke,Men,20180403,Meguru Hotta,Japan,Japan,55.58,55580,Elite
Swimming,2018,100m Backstroke,Men,20180805,Karl-Johann Luht,Estonia,Estonia,55.60,55600,Elite
Swimming,2018,100m Backstroke,Men,20180112,Taylor Dale,United States,United States,55.61,55610,Elite
Swimming,2018,100m Backstroke,Men,20180624,Ryan Harty,United States,United States,55.66,55660,Elite
Swimming,2018,100m Backstroke,Men,20180704,Mewen Tomac,France,France,55.67,55670,Elite
Swimming,2018,100m Backstroke,Men,20180427,Kim Ji-Heun,Korea,Korea,55.67,55670,Elite
Swimming,2018,100m Backstroke,Men,20180728,David Fridlander,Israel,Israel,55.68,55680,Elite
Swimming,2018,100m Backstroke,Men,20181130,Kane Follows,New Zealand,New Zealand,55.68,55680,Elite
Swimming,2018,100m Backstroke,Men,20180728,Alessandro Boratto,United States,United States,55.68,55680,Elite
Swimming,2018,100m Backstroke,Men,20180616,Martin Binedell,South Africa,South Africa,55.68,55680,Elite
Swimming,2018,100m Backstroke,Men,20180112,Robert Hill,Canada,Canada,55.71,55710,Elite
Swimming,2018,100m Backstroke,Men,20180403,Junki Yasuda,Japan,Japan,55.71,55710,Elite
Swimming,2018,100m Backstroke,Men,20180524,Thomas Avetand,France,France,55.72,55720,Elite
Swimming,2018,100m Backstroke,Men,20180420,Leonardo de Deus,Brazil,Brazil,55.74,55740,Elite
Swimming,2018,100m Backstroke,Men,20180909,Akira Nakanishi,Japan,Japan,55.74,55740,Elite
Swimming,2018,100m Backstroke,Men,20180725,Andy Xianyang Song An,Mexico,Mexico,55.75,55750,Elite
Swimming,2018,100m Backstroke,Men,20180427,Song Imgyu,Korea,Korea,55.75,55750,Elite
Swimming,2018,100m Backstroke,Men,20180810,Syunichi Nakao,Japan,Japan,55.77,55770,Elite
Swimming,2018,100m Backstroke,Men,20180406,Joseph Hulme,Great Britain,Great Britain,55.77,55770,Elite
Swimming,2018,100m Backstroke,Men,20180421,Leon MacAlister,Australia,Australia,55.77,55770,Elite
Swimming,2018,100m Backstroke,Men,20180624,Gabriel Lopes,Portugal,Portugal,55.77,55770,Elite
Swimming,2018,100m Backstroke,Men,20180620,Girts Feldbergs,Latvia,Latvia,55.78,55780,Elite
Swimming,2018,100m Backstroke,Men,20180813,Giulio Brugnoni,Italy,Italy,55.78,55780,Elite
Swimming,2018,100m Backstroke,Men,20180728,Jacob Molacek,United States,United States,55.79,55790,Elite
Swimming,2018,100m Backstroke,Men,20181010,Jakub Kraska,Poland,Poland,55.79,55790,Elite
Swimming,2018,100m Backstroke,Men,20180813,Giulio Ciavarella,Italy,Italy,55.80,55800,Elite
Swimming,2018,100m Backstroke,Men,20180704,Jan Cejka,Czech Republic,Czech Republic,55.81,55810,Elite
Swimming,2018,100m Backstroke,Men,20180909,Yuutarou Kaneko,Japan,Japan,55.81,55810,Elite
Swimming,2018,100m Backstroke,Men,20180813,Alessandro Baffi,Italy,Italy,55.81,55810,Elite
Swimming,2018,100m Backstroke,Men,20181013,Wang Yutian,China,China,55.82,55820,Elite
Swimming,2018,100m Backstroke,Men,20180228,Jack Selman,Australia,Australia,55.83,55830,Elite
Swimming,2018,100m Backstroke,Men,20181008,Manuel Martos,Spain,Spain,55.83,55830,Elite
Swimming,2018,100m Backstroke,Men,20180524,Yohann Ndoye Brouard,France,France,55.84,55840,Elite
Swimming,2018,100m Backstroke,Men,20180704,Corneille Coetzee,New Zealand,New Zealand,55.85,55850,Elite
Swimming,2018,100m Backstroke,Men,20180806,Metin Aydin,Turkey,Turkey,55.85,55850,Elite
Swimming,2018,100m Backstroke,Men,20180819,Shrihari Nartaj,India,India,55.86,55860,Elite
Swimming,2018,100m Backstroke,Men,20180707,Aidan Stoffle,United States,United States,55.87,55870,Elite
Swimming,2018,100m Backstroke,Men,20180725,Robinson Molina,Venezuela,Venezuela,55.88,55880,Elite
Swimming,2018,100m Backstroke,Men,20180823,Adam Chaney,United States,United States,55.89,55890,Elite
Swimming,2018,100m Backstroke,Men,20180527,Andrei Mircea Anghel,Romania,Romania,55.89,55890,Elite
Swimming,2018,100m Backstroke,Men,20180805,Björn Seeliger,Sweden,Sweden,55.89,55890,Elite
Swimming,2018,100m Backstroke,Men,20180223,Panagiotis Bolanos,Greece,Greece,55.90,55900,Elite
Swimming,2018,100m Backstroke,Men,20180702,Jorden Merrilees,Australia,Australia,55.92,55920,Elite
Swimming,2018,100m Backstroke,Men,20180413,Jin Yan,China,China,55.92,55920,Elite
Swimming,2018,100m Backstroke,Men,20180823,Tim Connery,United States,United States,55.93,55930,Elite
Swimming,2018,100m Backstroke,Men,20180524,Geoffroy Mathieu,France,France,55.93,55930,Elite
Swimming,2018,100m Backstroke,Men,20180525,Hiroki Sakurai,Japan,Japan,55.93,55930,Elite
Swimming,2018,100m Backstroke,Men,20180720,Brock Bonetti,United States,United States,55.93,55930,Elite
Swimming,2018,100m Backstroke,Men,20181013,Lin Tao,China,China,55.95,55950,Elite
Swimming,2018,100m Backstroke,Men,20180524,Jean Lamorisse,France,France,55.95,55950,Elite
Swimming,2018,100m Backstroke,Men,20180413,Sjobbe Luyten,Belgium,Belgium,55.96,55960,Elite
Swimming,2018,100m Backstroke,Men,20180407,Timothy Shuttleworth,Great Britain,Great Britain,55.96,55960,Elite
Swimming,2018,100m Backstroke,Men,20180728,Daniel Hein,United States,United States,55.96,55960,Elite
Swimming,2018,100m Backstroke,Men,20180525,Karol Mlynarczyk,Poland,Poland,55.96,55960,Elite
Swimming,2018,100m Backstroke,Men,20180715,David Puczkowski,United States,United States,55.97,55970,Elite
Swimming,2018,100m Backstroke,Men,20181130,Cole Pratt,Canada,Canada,55.98,55980,Elite
Swimming,2018,100m Backstroke,Men,20180410,Damiano Lestingi,Italy,Italy,55.98,55980,Elite
Swimming,2018,100m Backstroke,Men,20180719,Josiah Binnema,Canada,Canada,55.98,55980,Elite
Swimming,2018,100m Backstroke,Men,20180406,Sebastian Somerset,Canada,Canada,56.02,56020,Elite
Swimming,2018,100m Backstroke,Men,20180728,Francisco Rogerio Santos,Great Britain,Great Britain,56.03,56030,Elite
Swimming,2018,100m Backstroke,Men,20180818,Syuyu Kinoshita,Japan,Japan,56.03,56030,Elite
Swimming,2018,100m Backstroke,Men,20180909,Tadanobu Tokiwa,Japan,Japan,56.04,56040,Elite
Swimming,2018,100m Backstroke,Men,20180525,Rafal Bugdol,Poland,Poland,56.04,56040,Elite
Swimming,2018,100m Backstroke,Men,20180728,Rob Zofchak,United States,United States,56.05,56050,Elite
Swimming,2018,100m Backstroke,Men,20180909,Kazuhide Shigemi,Japan,Japan,56.06,56060,Elite
Swimming,2018,100m Backstroke,Men,20180725,Oliver Fitt,Great Britain,Great Britain,56.07,56070,Elite
Swimming,2018,100m Backstroke,Men,20180725,Joseph Small,Great Britain,Great Britain,56.07,56070,Elite
Swimming,2018,100m Backstroke,Men,20180811,Chuang Mu-Lun,Chinese Taipei,Chinese Taipei,56.08,56080,Elite
Swimming,2018,100m Backstroke,Men,20180507,Maksim Fofanov,Russia,Russia,56.08,56080,Elite
Swimming,2018,100m Backstroke,Men,20180819,Jia Yi Francis Fong,Singapore,Singapore,56.09,56090,Elite
Swimming,2018,100m Backstroke,Men,20180909,Hiroki Ryu,Japan,Japan,56.09,56090,Elite
Swimming,2018,100m Backstroke,Men,20181107,Charles Hockin,Paraguay,Paraguay,56.09,56090,Elite
Swimming,2018,100m Backstroke,Men,20180427,Park Sungwoong,Korea,Korea,56.11,56110,Elite
Swimming,2018,100m Backstroke,Men,20180719,Lukas Loewel,Germany,Germany,56.12,56120,Elite
Swimming,2018,100m Backstroke,Men,20180728,Connor Blandford,United States,United States,56.13,56130,Elite
Swimming,2018,100m Backstroke,Men,20180407,Mattias Carlsson,Sweden,Sweden,56.13,56130,Elite
Swimming,2018,100m Backstroke,Men,20180704,Bayley Main,New Zealand,New Zealand,56.14,56140,Elite
Swimming,2018,100m Backstroke,Men,20180422,Ivan Zaitsev,Russia,Russia,56.14,56140,Elite
Swimming,2018,100m Backstroke,Men,20180422,Ramon Klenz,Germany,Germany,56.14,56140,Elite
Swimming,2018,100m Backstroke,Men,20180823,Tyler Wall,Canada,Canada,56.15,56150,Elite
Swimming,2018,100m Backstroke,Men,20180728,Benjamin Ho,United States,United States,56.15,56150,Elite
Swimming,2018,100m Backstroke,Men,20180622,Tom Donker,Netherlands,Netherlands,56.16,56160,Elite
Swimming,2018,100m Backstroke,Men,20180228,Tristan Ludlow,Australia,Australia,56.16,56160,Elite
Swimming,2018,100m Backstroke,Men,20180410,Mirco Di Tora,Italy,Italy,56.17,56170,Elite
Swimming,2018,100m Backstroke,Men,20180801,Mitchell Whyte,United States,United States,56.17,56170,Elite
Swimming,2018,100m Backstroke,Men,20180622,Zane Waddell,South Africa,South Africa,56.18,56180,Elite
Swimming,2018,100m Backstroke,Men,20181130,Will Countie,United States,United States,56.18,56180,Elite
Swimming,2018,100m Backstroke,Men,20180725,Jack Kirby,Barbados,Barbados,56.19,56190,Elite
Swimming,2018,100m Backstroke,Men,20180729,Kristian Komlenic,Croatia,Croatia,56.19,56190,Elite
Swimming,2018,100m Backstroke,Men,20180819,Merdan Ataýew,Turkmenistan,Turkmenistan,56.20,56200,Elite
Swimming,2018,100m Backstroke,Men,20180407,Oleg Garasymovytch,France,France,56.20,56200,Elite
